,Index,IndexType
180,13788,train
181,4413,train
182,3526,train
183,17917,train
184,3014,train
185,9476,train
186,14100,train
187,11973,train
188,17946,train
189,16760,train
190,15134,train
191,3105,train
192,17006,train
193,4281,train
194,9253,train
195,18455,train
196,14237,train
197,7794,train
198,14317,train
199,16594,train
200,1208,train
201,2856,train
202,9231,train
203,2503,train
204,11042,train
205,5441,train
206,13799,train
207,1090,train
208,1533,train
209,11078,train
210,1411,train
211,8877,train
212,12548,train
213,13309,train
214,6425,train
215,11054,train
216,4205,train
217,12731,train
218,7568,train
219,16425,train
220,7676,train
221,13583,train
222,13955,train
223,11775,train
224,10801,train
225,15916,train
226,14726,train
227,13827,train
228,8176,train
229,8608,train
230,13088,train
231,8040,train
232,18746,train
233,6508,train
234,12811,train
235,16190,train
236,2781,train
237,15658,train
238,4149,train
239,1767,train
240,12457,train
241,6662,train
242,16547,train
243,16882,train
244,12902,train
245,17065,train
246,4730,train
247,10510,train
248,9469,train
249,12881,train
250,4966,train
251,2281,train
252,15685,train
253,1002,train
254,1061,train
255,12159,train
256,12571,train
257,14819,train
258,15749,train
259,2676,train
260,12277,train
261,12354,train
262,13959,train
263,9639,train
264,2797,train
265,12071,train
266,9545,train
267,9385,train
268,2498,train
269,2146,train
270,9678,train
271,586,train
272,14163,train
273,18268,train
274,16350,train
275,10192,train
276,7719,train
277,4850,train
278,12723,train
279,7546,train
280,9264,train
281,2585,train
282,16914,train
283,6834,train
284,16111,train
285,3128,train
286,2189,train
287,8596,train
288,12430,train
289,5566,train
290,14152,train
291,3798,train
292,3989,train
293,10484,train
294,4293,train
295,7613,train
296,4783,train
297,13759,train
298,13344,train
299,1570,train
300,1398,train
301,11552,train
302,8299,train
303,2021,train
304,9086,train
305,15980,train
306,14147,train
307,16952,train
308,14606,train
309,2002,train
310,17616,train
311,14347,train
312,13850,train
313,902,train
314,5623,train
315,181,train
316,1063,train
317,12962,train
318,4110,train
319,6730,train
320,1853,train
321,2334,train
322,14322,train
323,2388,train
324,18223,train
325,18168,train
326,12438,train
327,15086,train
328,12054,train
329,8935,train
330,1926,train
331,15093,train
332,8045,train
333,16929,train
334,7139,train
335,50,train
336,5418,train
337,12107,train
338,15001,train
339,3616,train
340,10603,train
341,4153,train
342,18807,train
343,2250,train
344,9376,train
345,7101,train
346,9734,train
347,16263,train
348,12832,train
349,1097,train
350,5995,train
351,2270,train
352,9412,train
353,13375,train
354,14137,train
355,15272,train
356,11771,train
357,4548,train
358,3528,train
359,2086,train
360,3857,train
361,10212,train
362,3256,train
363,13082,train
364,6955,train
365,8196,train
366,5135,train
367,4824,train
368,16692,train
369,431,train
370,2202,train
371,1572,train
372,18314,train
373,14677,train
374,16695,train
375,10660,train
376,17394,train
377,6013,train
378,16871,train
379,7502,train
380,9129,train
381,6506,train
382,18767,train
383,17443,train
384,11339,train
385,16799,train
386,4993,train
387,884,train
388,12250,train
389,1039,train
390,1470,train
391,6299,train
392,7020,train
393,11132,train
394,18345,train
395,3315,train
396,2095,train
397,17229,train
398,15046,train
399,1194,train
400,1010,train
401,18841,train
402,12263,train
403,4031,train
404,12341,train
405,4461,train
406,5391,train
407,5070,train
408,15294,train
409,900,train
410,17442,train
411,934,train
412,10446,train
413,17703,train
414,13134,train
415,12471,train
416,13103,train
417,11614,train
418,17358,train
419,959,train
420,1148,train
421,13651,train
422,2051,train
423,5584,train
424,2054,train
425,8735,train
426,12244,train
427,11967,train
428,12546,train
429,2698,train
430,12313,train
431,17378,train
432,2959,train
433,11438,train
434,7157,train
435,9751,train
436,13903,train
437,6440,train
438,11489,train
439,13033,train
440,12121,train
441,4564,train
442,18840,train
443,8956,train
444,16840,train
445,3682,train
446,17007,train
447,2859,train
448,4540,train
449,16136,train
450,16753,train
451,7635,train
452,1056,train
453,2635,train
454,11626,train
455,7636,train
456,7527,train
457,7877,train
458,12627,train
459,2937,train
460,8097,train
461,11443,train
462,5857,train
463,2157,train
464,10840,train
465,6790,train
466,17401,train
467,7559,train
468,2796,train
469,102,train
470,6161,train
471,15207,train
472,5174,train
473,13437,train
474,5216,train
475,16847,train
476,1694,train
477,14267,train
478,1065,train
479,7963,train
480,13376,train
481,4197,train
482,5800,train
483,9585,train
484,8950,train
485,17444,train
486,16399,train
487,34,train
488,17721,train
489,2358,train
490,3698,train
491,4972,train
492,937,train
493,396,train
494,11579,train
495,5236,train
496,2656,train
497,2614,train
498,2134,train
499,15332,train
500,13888,train
501,8868,train
502,8031,train
503,14674,train
504,1210,train
505,9892,train
506,1085,train
507,8798,train
508,9098,train
509,11841,train
510,5026,train
511,8149,train
512,10718,train
513,2448,train
514,8025,train
515,18603,train
516,1318,train
517,1769,train
518,5921,train
519,9153,train
520,6356,train
521,13508,train
522,130,train
523,6389,train
524,10371,train
525,8725,train
526,12266,train
527,6826,train
528,9072,train
529,3341,train
530,14156,train
531,6510,train
532,5925,train
533,13388,train
534,9509,train
535,6417,train
536,15323,train
537,6954,train
538,2216,train
539,12530,train
540,17880,train
541,4527,train
542,7806,train
543,7626,train
544,6935,train
545,17083,train
546,655,train
547,15773,train
548,13719,train
549,12817,train
550,4745,train
551,8087,train
552,7176,train
553,16003,train
554,17180,train
555,14403,train
556,12434,train
557,449,train
558,8585,train
559,2677,train
560,7300,train
561,5046,train
562,13325,train
563,535,train
564,15699,train
565,16079,train
566,7656,train
567,2425,train
568,1836,train
569,15192,train
570,9514,train
571,6945,train
572,9180,train
573,7434,train
574,1038,train
575,10777,train
576,5786,train
577,9595,train
578,15846,train
579,1870,train
580,3643,train
581,5706,train
582,17601,train
583,8910,train
584,1688,train
585,9276,train
586,16765,train
587,196,train
588,518,train
589,10107,train
590,9489,train
591,9334,train
592,6137,train
593,18818,train
594,14866,train
595,8807,train
596,8630,train
597,3011,train
598,17408,train
599,11058,train
600,454,train
601,16820,train
602,16321,train
603,12596,train
604,15926,train
605,2929,train
606,13431,train
607,6202,train
608,18347,train
609,99,train
610,11208,train
611,4762,train
612,12603,train
613,18496,train
614,11712,train
615,15469,train
616,13356,train
617,1707,train
618,254,train
619,3248,train
620,1302,train
621,16960,train
622,11717,train
623,5999,train
624,6958,train
625,2699,train
626,9838,train
627,14442,train
628,3559,train
629,933,train
630,9630,train
631,7782,train
632,12235,train
633,15750,train
634,2518,train
635,1373,train
636,12455,train
637,16390,train
638,2009,train
639,7326,train
640,4731,train
641,5547,train
642,4614,train
643,11232,train
644,1037,train
645,11711,train
646,15011,train
647,12248,train
648,8046,train
649,15203,train
650,9199,train
651,8586,train
652,15951,train
653,11921,train
654,15276,train
655,3062,train
656,5149,train
657,6619,train
658,3268,train
659,7066,train
660,9535,train
661,17161,train
662,18838,train
663,8065,train
664,9676,train
665,8048,train
666,7753,train
667,6405,train
668,10247,train
669,8590,train
670,18294,train
671,664,train
672,13072,train
673,7336,train
674,18731,train
675,4069,train
676,13585,train
677,15606,train
678,9563,train
679,16803,train
680,10512,train
681,10678,train
682,17860,train
683,13578,train
684,13049,train
685,18795,train
686,3263,train
687,1984,train
688,2435,train
689,7039,train
690,6350,train
691,16860,train
692,7576,train
693,10618,train
694,5350,train
695,15100,train
696,2662,train
697,12513,train
698,1280,train
699,8538,train
700,14679,train
701,14626,train
702,14333,train
703,6536,train
704,10120,train
705,536,train
706,2813,train
707,11398,train
708,13213,train
709,259,train
710,11760,train
711,14290,train
712,11503,train
713,9340,train
714,15002,train
715,12695,train
716,2003,train
717,6392,train
718,4328,train
719,640,train
720,617,train
721,474,train
722,1310,train
723,12520,train
724,13444,train
725,11930,train
726,3189,train
727,14244,train
728,16681,train
729,14881,train
730,2701,train
731,4045,train
732,993,train
733,14636,train
734,14840,train
735,6086,train
736,11701,train
737,1866,train
738,12870,train
739,17797,train
740,11822,train
741,1121,train
742,5952,train
743,3948,train
744,5940,train
745,14591,train
746,2641,train
747,16592,train
748,11658,train
749,10662,train
750,15108,train
751,1698,train
752,1835,train
753,4037,train
754,12872,train
755,14932,train
756,6119,train
757,3941,train
758,1042,train
759,9999,train
760,15489,train
761,13353,train
762,16824,train
763,9559,train
764,6011,train
765,1433,train
766,17281,train
767,8981,train
768,9658,train
769,17931,train
770,11869,train
771,377,train
772,357,train
773,11214,train
774,10645,train
775,6162,train
776,11823,train
777,17036,train
778,4410,train
779,1441,train
780,17628,train
781,3210,train
782,10624,train
783,9060,train
784,17129,train
785,17324,train
786,1713,train
787,14108,train
788,18040,train
789,6134,train
790,14241,train
791,8344,train
792,2252,train
793,1968,train
794,9666,train
795,12620,train
796,13775,train
797,10402,train
798,17828,train
799,4472,train
800,4894,train
801,16122,train
802,18762,train
803,10339,train
804,6473,train
805,4602,train
806,1256,train
807,2420,train
808,5019,train
809,14629,train
810,7672,train
811,222,train
812,13244,train
813,3919,train
814,13761,train
815,17778,train
816,12209,train
817,12357,train
818,13415,train
819,2935,train
820,7402,train
821,5386,train
822,8028,train
823,8108,train
824,1402,train
825,113,train
826,14112,train
827,12129,train
828,10868,train
829,12111,train
830,4999,train
831,6661,train
832,11993,train
833,15870,train
834,15971,train
835,3498,train
836,11183,train
837,18719,train
838,4388,train
839,5548,train
840,18535,train
841,10004,train
842,9997,train
843,7811,train
844,7488,train
845,9800,train
846,3058,train
847,16812,train
848,10675,train
849,15963,train
850,4097,train
851,135,train
852,7254,train
853,7917,train
854,15908,train
855,3429,train
856,15540,train
857,8559,train
858,12521,train
859,12397,train
860,13107,train
861,9084,train
862,9450,train
863,3595,train
864,7530,train
865,15597,train
866,3111,train
867,2087,train
868,8724,train
869,16479,train
870,13685,train
871,12989,train
872,10011,train
873,2133,train
874,3950,train
875,3502,train
876,9391,train
877,17886,train
878,15869,train
879,1890,train
880,8986,train
881,8013,train
882,13553,train
883,4246,train
884,7051,train
885,10157,train
886,2714,train
887,9405,train
888,13657,train
889,9263,train
890,6151,train
891,5465,train
892,17863,train
893,2760,train
894,9924,train
895,10547,train
896,5945,train
897,3485,train
898,8109,train
899,1833,train
900,13047,train
901,13387,train
902,3181,train
903,1139,train
904,3376,train
905,10866,train
906,18383,train
907,8481,train
908,1692,train
909,4843,train
910,11309,train
911,12930,train
912,6829,train
913,18197,train
914,653,train
915,6174,train
916,18000,train
917,10027,train
918,2726,train
919,1113,train
920,13259,train
921,3287,train
922,930,train
923,373,train
924,2099,train
925,5625,train
926,4308,train
927,18550,train
928,17060,train
929,7724,train
930,3000,train
931,17524,train
932,14982,train
933,11455,train
934,11735,train
935,14733,train
936,17383,train
937,2132,train
938,12122,train
939,16708,train
940,7947,train
941,41,train
942,9565,train
943,12030,train
944,862,train
945,12531,train
946,5885,train
947,12940,train
948,3651,train
949,16648,train
950,13817,train
951,3335,train
952,13004,train
953,7712,train
954,13458,train
955,6178,train
956,18053,train
957,18384,train
958,566,train
959,14426,train
960,8473,train
961,11621,train
962,3656,train
963,3434,train
964,10038,train
965,1305,train
966,4484,train
967,11282,train
968,1362,train
969,13820,train
970,17874,train
971,12009,train
972,16987,train
973,16249,train
974,17276,train
975,10653,train
976,10786,train
977,3887,train
978,54,train
979,16739,train
980,11963,train
981,11319,train
982,4089,train
983,16317,train
984,6647,train
985,5385,train
986,735,train
987,13562,train
988,18656,train
989,1964,train
990,2629,train
991,12876,train
992,9671,train
993,720,train
994,6208,train
995,11508,train
996,16645,train
997,426,train
998,3997,train
999,5270,train
1000,10855,train
1001,18769,train
1002,4315,train
1003,15976,train
1004,16804,train
1005,5219,train
1006,2543,train
1007,12319,train
1008,4738,train
1009,2275,train
1010,7882,train
1011,420,train
1012,284,train
1013,998,train
1014,5532,train
1015,13786,train
1016,8034,train
1017,5168,train
1018,10089,train
1019,5736,train
1020,17256,train
1021,9390,train
1022,6562,train
1023,10504,train
1024,7369,train
1025,10493,train
1026,8404,train
1027,17286,train
1028,13728,train
1029,7655,train
1030,11193,train
1031,11243,train
1032,7221,train
1033,7911,train
1034,9414,train
1035,14443,train
1036,4634,train
1037,17349,train
1038,16017,train
1039,9840,train
1040,15804,train
1041,682,train
1042,4750,train
1043,11391,train
1044,1720,train
1045,13468,train
1046,14392,train
1047,4391,train
1048,6147,train
1049,221,train
1050,13586,train
1051,10329,train
1052,10620,train
1053,17842,train
1054,4105,train
1055,17109,train
1056,8823,train
1057,5022,train
1058,12284,train
1059,803,train
1060,17671,train
1061,6427,train
1062,14568,train
1063,15720,train
1064,16561,train
1065,1606,train
1066,6677,train
1067,2993,train
1068,10933,train
1069,13594,train
1070,17307,train
1071,18105,train
1072,1276,train
1073,8131,train
1074,9851,train
1075,7511,train
1076,5667,train
1077,5893,train
1078,16113,train
1079,982,train
1080,6835,train
1081,3978,train
1082,16710,train
1083,9059,train
1084,6867,train
1085,10414,train
1086,9003,train
1087,10597,train
1088,18606,train
1089,18305,train
1090,14684,train
1091,5107,train
1092,14980,train
1093,14071,train
1094,13617,train
1095,15887,train
1096,11911,train
1097,1255,train
1098,16549,train
1099,3846,train
1100,841,train
1101,12181,train
1102,2481,train
1103,5887,train
1104,5211,train
1105,12147,train
1106,3295,train
1107,16769,train
1108,2946,train
1109,16429,train
1110,829,train
1111,5632,train
1112,1602,train
1113,3269,train
1114,11887,train
1115,13119,train
1116,3048,train
1117,13389,train
1118,7796,train
1119,447,train
1120,11730,train
1121,18792,train
1122,10455,train
1123,7477,train
1124,8722,train
1125,4219,train
1126,18724,train
1127,13022,train
1128,13806,train
1129,17059,train
1130,8631,train
1131,15633,train
1132,3739,train
1133,1921,train
1134,17566,train
1135,14627,train
1136,10052,train
1137,17608,train
1138,4400,train
1139,1358,train
1140,3503,train
1141,18619,train
1142,3043,train
1143,5927,train
1144,3050,train
1145,16751,train
1146,15402,train
1147,6224,train
1148,13105,train
1149,9002,train
1150,15907,train
1151,17814,train
1152,9819,train
1153,11947,train
1154,18644,train
1155,1320,train
1156,11335,train
1157,10131,train
1158,10381,train
1159,7308,train
1160,8375,train
1161,2084,train
1162,6390,train
1163,10600,train
1164,16878,train
1165,5028,train
1166,3964,train
1167,10264,train
1168,3652,train
1169,10261,train
1170,12020,train
1171,380,train
1172,10879,train
1173,8137,train
1174,11699,train
1175,7003,train
1176,9279,train
1177,17200,train
1178,18367,train
1179,4618,train
1180,149,train
1181,2812,train
1182,13473,train
1183,94,train
1184,10262,train
1185,10137,train
1186,18269,train
1187,17822,train
1188,6023,train
1189,18715,train
1190,8819,train
1191,1496,train
1192,4178,train
1193,0,train
1194,3233,train
1195,15949,train
1196,12630,train
1197,10792,train
1198,7652,train
1199,16116,train
1200,5970,train
1201,3002,train
1202,11687,train
1203,15920,train
1204,3143,train
1205,4342,train
1206,11642,train
1207,8922,train
1208,8164,train
1209,14261,train
1210,16026,train
1211,9432,train
1212,5018,train
1213,7107,train
1214,1929,train
1215,14364,train
1216,13862,train
1217,11501,train
1218,12762,train
1219,16474,train
1220,8279,train
1221,4170,train
1222,10543,train
1223,4832,train
1224,11109,train
1225,10184,train
1226,1634,train
1227,17767,train
1228,3547,train
1229,7809,train
1230,5203,train
1231,3686,train
1232,17520,train
1233,8310,train
1234,11436,train
1235,1479,train
1236,6243,train
1237,2150,train
1238,5787,train
1239,1498,train
1240,18634,train
1241,5746,train
1242,5155,train
1243,7725,train
1244,12059,train
1245,7307,train
1246,7459,train
1247,16091,train
1248,10670,train
1249,14509,train
1250,2752,train
1251,18464,train
1252,1333,train
1253,11732,train
1254,8499,train
1255,18553,train
1256,11859,train
1257,15739,train
1258,2688,train
1259,11567,train
1260,10428,train
1261,5337,train
1262,13421,train
1263,18856,train
1264,10440,train
1265,7936,train
1266,14924,train
1267,13007,train
1268,4294,train
1269,5826,train
1270,17,train
1271,10513,train
1272,3507,train
1273,6339,train
1274,2715,train
1275,3623,train
1276,16148,train
1277,316,train
1278,5496,train
1279,15914,train
1280,3784,train
1281,11010,train
1282,10351,train
1283,11573,train
1284,5129,train
1285,7654,train
1286,16504,train
1287,4049,train
1288,14488,train
1289,3214,train
1290,13707,train
1291,13295,train
1292,9292,train
1293,3200,train
1294,5598,train
1295,7623,train
1296,3251,train
1297,11750,train
1298,12292,train
1299,1639,train
1300,5421,train
1301,14476,train
1302,3588,train
1303,17167,train
1304,17980,train
1305,17553,train
1306,12299,train
1307,14934,train
1308,18022,train
1309,18281,train
1310,3860,train
1311,17996,train
1312,5665,train
1313,3323,train
1314,7273,train
1315,11721,train
1316,11224,train
1317,12143,train
1318,1965,train
1319,12218,train
1320,8892,train
1321,1584,train
1322,2025,train
1323,8437,train
1324,15450,train
1325,9539,train
1326,1215,train
1327,7974,train
1328,18487,train
1329,12256,train
1330,31,train
1331,5282,train
1332,18521,train
1333,5683,train
1334,6679,train
1335,2928,train
1336,3208,train
1337,15016,train
1338,1343,train
1339,12320,train
1340,6228,train
1341,12705,train
1342,6383,train
1343,4724,train
1344,5034,train
1345,7451,train
1346,5836,train
1347,14396,train
1348,2930,train
1349,12786,train
1350,10877,train
1351,16811,train
1352,15090,train
1353,7883,train
1354,5142,train
1355,9128,train
1356,11039,train
1357,4877,train
1358,700,train
1359,12140,train
1360,9386,train
1361,10494,train
1362,16250,train
1363,11913,train
1364,8824,train
1365,3844,train
1366,6486,train
1367,14384,train
1368,1314,train
1369,14892,train
1370,764,train
1371,8439,train
1372,4949,train
1373,16254,train
1374,15025,train
1375,6443,train
1376,6863,train
1377,7551,train
1378,5864,train
1379,16379,train
1380,18332,train
1381,6569,train
1382,38,train
1383,1455,train
1384,4304,train
1385,16791,train
1386,6132,train
1387,3115,train
1388,3975,train
1389,5031,train
1390,2973,train
1391,950,train
1392,826,train
1393,4629,train
1394,274,train
1395,4436,train
1396,11685,train
1397,16519,train
1398,1053,train
1399,11099,train
1400,14620,train
1401,16229,train
1402,5416,train
1403,11097,train
1404,14331,train
1405,10219,train
1406,13974,train
1407,6741,train
1408,2807,train
1409,14625,train
1410,16033,train
1411,11727,train
1412,3993,train
1413,304,train
1414,7403,train
1415,16473,train
1416,5525,train
1417,7068,train
1418,16412,train
1419,8568,train
1420,7663,train
1421,12862,train
1422,6934,train
1423,18194,train
1424,3589,train
1425,3035,train
1426,10392,train
1427,511,train
1428,5468,train
1429,18492,train
1430,13932,train
1431,8794,train
1432,5719,train
1433,5924,train
1434,16551,train
1435,17486,train
1436,5638,train
1437,750,train
1438,9020,train
1439,9868,train
1440,4048,train
1441,7040,train
1442,7004,train
1443,742,train
1444,16218,train
1445,176,train
1446,9954,train
1447,18733,train
1448,11432,train
1449,18672,train
1450,11868,train
1451,7904,train
1452,18526,train
1453,5199,train
1454,7458,train
1455,14878,train
1456,4447,train
1457,7540,train
1458,601,train
1459,14706,train
1460,12751,train
1461,18574,train
1462,8500,train
1463,14223,train
1464,381,train
1465,13132,train
1466,6412,train
1467,17938,train
1468,10819,train
1469,8486,train
1470,8739,train
1471,6126,train
1472,13181,train
1473,3995,train
1474,8582,train
1475,10772,train
1476,6064,train
1477,4671,train
1478,6072,train
1479,8637,train
1480,14067,train
1481,4034,train
1482,7061,train
1483,7110,train
1484,1372,train
1485,4863,train
1486,439,train
1487,8715,train
1488,16899,train
1489,1604,train
1490,8561,train
1491,17164,train
1492,11464,train
1493,285,train
1494,12801,train
1495,9541,train
1496,8744,train
1497,339,train
1498,16224,train
1499,9845,train
1500,4885,train
1501,8591,train
1502,13511,train
1503,1226,train
1504,16909,train
1505,17983,train
1506,11009,train
1507,10333,train
1508,11117,train
1509,903,train
1510,9091,train
1511,2351,train
1512,12644,train
1513,3930,train
1514,14847,train
1515,17500,train
1516,9982,train
1517,8413,train
1518,4448,train
1519,1593,train
1520,15480,train
1521,366,train
1522,15851,train
1523,6717,train
1524,2199,train
1525,3079,train
1526,13231,train
1527,6335,train
1528,11342,train
1529,17718,train
1530,3016,train
1531,4653,train
1532,16945,train
1533,17789,train
1534,13433,train
1535,9527,train
1536,8674,train
1537,1653,train
1538,5620,train
1539,3422,train
1540,11840,train
1541,13315,train
1542,18193,train
1543,7700,train
1544,13546,train
1545,5962,train
1546,13080,train
1547,1206,train
1548,11300,train
1549,14603,train
1550,7704,train
1551,18364,train
1552,1486,train
1553,13290,train
1554,18337,train
1555,17763,train
1556,10955,train
1557,9921,train
1558,85,train
1559,167,train
1560,12558,train
1561,15060,train
1562,6215,train
1563,8390,train
1564,12136,train
1565,2830,train
1566,6532,train
1567,14579,train
1568,16202,train
1569,13021,train
1570,5225,train
1571,5681,train
1572,8972,train
1573,8425,train
1574,1418,train
1575,6492,train
1576,3550,train
1577,14121,train
1578,7592,train
1579,46,train
1580,3938,train
1581,14909,train
1582,9745,train
1583,7571,train
1584,3609,train
1585,12035,train
1586,15074,train
1587,17479,train
1588,2069,train
1589,1522,train
1590,5198,train
1591,18238,train
1592,7708,train
1593,16205,train
1594,1078,train
1595,12934,train
1596,12826,train
1597,2175,train
1598,17137,train
1599,624,train
1600,10604,train
1601,3222,train
1602,16124,train
1603,6408,train
1604,18084,train
1605,9912,train
1606,17193,train
1607,7887,train
1608,257,train
1609,15975,train
1610,147,train
1611,18831,train
1612,7007,train
1613,14763,train
1614,4860,train
1615,425,train
1616,11920,train
1617,14896,train
1618,18605,train
1619,4921,train
1620,7695,train
1621,17582,train
1622,11553,train
1623,3704,train
1624,11285,train
1625,12660,train
1626,16595,train
1627,12604,train
1628,4254,train
1629,11940,train
1630,6311,train
1631,11194,train
1632,14917,train
1633,16409,train
1634,16901,train
1635,1739,train
1636,5157,train
1637,14765,train
1638,10821,train
1639,14372,train
1640,2447,train
1641,1887,train
1642,6422,train
1643,14359,train
1644,7698,train
1645,14187,train
1646,8116,train
1647,4325,train
1648,9482,train
1649,10708,train
1650,7341,train
1651,11096,train
1652,905,train
1653,16676,train
1654,8607,train
1655,1967,train
1656,16867,train
1657,1393,train
1658,7836,train
1659,4985,train
1660,8583,train
1661,18114,train
1662,12368,train
1663,2254,train
1664,13250,train
1665,10236,train
1666,3102,train
1667,5290,train
1668,15051,train
1669,3479,train
1670,911,train
1671,15340,train
1672,7535,train
1673,1714,train
1674,18756,train
1675,8166,train
1676,7858,train
1677,10337,train
1678,3522,train
1679,11575,train
1680,16677,train
1681,10732,train
1682,6914,train
1683,10615,train
1684,2950,train
1685,6259,train
1686,15357,train
1687,16162,train
1688,15066,train
1689,13055,train
1690,10735,train
1691,15482,train
1692,5815,train
1693,13570,train
1694,6632,train
1695,3107,train
1696,2006,train
1697,1288,train
1698,18034,train
1699,12137,train
1700,15599,train
1701,10182,train
1702,8999,train
1703,6916,train
1704,1693,train
1705,8409,train
1706,10999,train
1707,18221,train
1708,8621,train
1709,12119,train
1710,15429,train
1711,6526,train
1712,14785,train
1713,3289,train
1714,9239,train
1715,8852,train
1716,2499,train
1717,16971,train
1718,218,train
1719,14354,train
1720,6301,train
1721,8466,train
1722,5937,train
1723,14057,train
1724,18654,train
1725,17127,train
1726,2574,train
1727,15718,train
1728,5549,train
1729,6366,train
1730,7449,train
1731,12769,train
1732,8407,train
1733,2512,train
1734,12296,train
1735,6076,train
1736,11402,train
1737,2081,train
1738,11647,train
1739,1959,train
1740,11136,train
1741,18414,train
1742,8214,train
1743,15854,train
1744,5035,train
1745,4787,train
1746,14724,train
1747,6695,train
1748,5082,train
1749,9983,train
1750,9305,train
1751,15388,train
1752,4061,train
1753,14861,train
1754,6315,train
1755,12510,train
1756,14584,train
1757,10204,train
1758,2724,train
1759,2923,train
1760,11979,train
1761,1064,train
1762,4848,train
1763,16255,train
1764,4450,train
1765,14495,train
1766,9071,train
1767,17780,train
1768,16319,train
1769,13895,train
1770,13607,train
1771,4672,train
1772,1771,train
1773,7268,train
1774,16339,train
1775,14096,train
1776,10249,train
1777,5564,train
1778,13130,train
1779,12796,train
1780,13713,train
1781,7723,train
1782,5545,train
1783,9668,train
1784,3366,train
1785,4411,train
1786,10883,train
1787,7534,train
1788,18699,train
1789,10384,train
1790,17925,train
1791,2638,train
1792,9859,train
1793,1153,train
1794,17682,train
1795,9701,train
1796,2299,train
1797,7854,train
1798,16349,train
1799,9543,train
1800,10481,train
1801,13883,train
1802,18262,train
1803,150,train
1804,14076,train
1805,17491,train
1806,1535,train
1807,15490,train
1808,13367,train
1809,12976,train
1810,1277,train
1811,14133,train
1812,17299,train
1813,2894,train
1814,2225,train
1815,8171,train
1816,16706,train
1817,16246,train
1818,1683,train
1819,16814,train
1820,18643,train
1821,16785,train
1822,17405,train
1823,4739,train
1824,578,train
1825,18814,train
1826,16365,train
1827,8664,train
1828,334,train
1829,12538,train
1830,2718,train
1831,18529,train
1832,8667,train
1833,8336,train
1834,13920,train
1835,14799,train
1836,14658,train
1837,10977,train
1838,8174,train
1839,7808,train
1840,8018,train
1841,17236,train
1842,676,train
1843,18398,train
1844,1006,train
1845,16076,train
1846,11588,train
1847,5833,train
1848,5020,train
1849,17593,train
1850,18408,train
1851,7981,train
1852,4032,train
1853,7885,train
1854,6434,train
1855,12631,train
1856,1796,train
1857,2885,train
1858,12060,train
1859,4245,train
1860,5537,train
1861,8238,train
1862,5015,train
1863,15701,train
1864,13840,train
1865,14280,train
1866,16414,train
1867,6438,train
1868,12667,train
1869,7167,train
1870,8602,train
1871,2836,train
1872,10341,train
1873,3069,train
1874,13658,train
1875,1443,train
1876,953,train
1877,12983,train
1878,4407,train
1879,8673,train
1880,4084,train
1881,7748,train
1882,1005,train
1883,16928,train
1884,12788,train
